1980/6/4	31:50.7	151.34	-5.23	95	5.7	0	169	56	147	279	63	39	4.424	-2.108	-2.316	-6.213	-5.31	6.174	43	4	-8.43	308	44	-3.93	137	46	12.36	10.39	24	B060480A	5.95	5.947743698
1980/9/26	28:15.4	167.3	-15.03	116	5.9	0	103	41	32	348	70	126	2.282	-0.684	-1.598	-0.386	2.556	3.203	52	17	-5.05	154	34	1.14	300	51	3.91	4.48	24	B092680A	5.7	5.704185343
1980/10/23	10:41.2	129.62	-6.61	160	5.8	0	63	51	32	311	66	136	1.154	-2.136	0.983	-0.381	0.97	0.442	10	9	-2.28	108	41	0.24	270	48	2.04	2.16	24	B102380A	5.49	5.492969167
1980/12/19	16:56.0	50.65	34.59	33	5.6	5.8	135	45	157	242	74	47	0.862	-1.879	1.018	-1.009	-0.86	0.397	2	18	-2.21	256	41	0.16	110	44	2.05	2.13	25	B121980A	6.16	6.155586402
1981/1/15	25:14.8	1.64	36.36	10	5	4.6	181	53	29	72	67	139	1.927	-0.209	-1.718	1.618	-0.146	-2.791	130	9	-3.99	228	44	0.64	31	44	3.35	3.67	23	B011581A	4.98	4.979777376
1981/1/28	49:37.6	127.56	-7.62	186	5.4	0	52	44	33	298	68	130	4.336	-7.976	3.639	-3.202	2.652	-0.627	0	14	-8.76	100	36	1.56	253	51	7.2	7.98	23	B012881A	5.2	5.204668594
1981/2/19	23:02.2	169.46	-21.54	33	5.7	6	297	52	143	52	62	45	0.741	-1.215	0.475	0.114	0.664	-0.158	173	6	-1.25	78	39	-0.04	270	51	1.29	1.27	25	B021981A	6.01	6.005869147
1981/3/26	47:06.3	164.79	-49.26	10	5.5	5.4	22	46	155	130	72	47	3.531	3.349	-6.881	6.842	-0.99	1.901	251	16	-7.85	146	41	-2.46	357	45	10.31	9.08	24	B032681D	5.91	5.908723899
1981/5/19	11:32.8	126.59	5.61	107	5.3	0	299	54	150	48	66	40	1.421	-2.958	1.537	0.159	2.806	-0.351	171	8	-3.04	73	44	-1.25	269	45	4.29	3.66	23	B051981A	4.98	4.97898739
1981/5/28	10:07.3	167.28	-14.69	129	5.9	0	185	60	150	291	64	34	0.941	0.257	-1.197	-1.038	-0.489	1.531	57	3	-2.17	323	48	-0.06	149	41	2.23	2.2	25	B052881A	6.16	6.164948454
1981/5/30	47:17.2	164.74	-49.15	33	5.7	5.4	15	44	145	132	66	51	2.572	1.163	-3.735	2.432	-0.805	1.664	248	13	-4.59	149	35	0.17	356	52	4.42	4.5	24	B053081A	5.71	5.705475009
1981/6/21	21:59.8	-176.3	-20.79	233	5.3	0	269	41	33	153	69	126	6.837	-7.023	0.186	1.55	-7.699	7.304	217	16	-13.16	318	33	0.81	105	52	12.34	12.75	23	B062181B	5.34	5.340340123
1981/8/1	42:16.4	-153.19	60.14	114	5.2	0	322	52	158	66	73	40	1.192	-2.861	1.669	1.383	1.903	1.326	190	13	-3.41	86	47	-0.48	291	40	3.89	3.65	24	B080181B	5.64	5.64486191
1981/9/10	21:23.7	144.75	10.68	13	5.6	5.2	185	40	154	295	74	53	1.294	0.283	-1.577	-2.089	0.416	1.637	52	20	-3.06	307	35	0.01	166	48	3.05	3.06	24	B091081B	5.59	5.593814284
