date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2016/01/09 20:06:17.4 121.39 -49.17 10.0 0.0 4.5 9 62 -10 103 81 -152 -0.192 -1.500 1.690 -2.440 -0.567 -3.700 329 26 -5.083 119 61 0.761 233 13 4.320 4.701 23 C201601092006A 
2016/01/09 20:11:32.0 121.58 -49.20 10.0 0.0 4.6 14 80 7 283 83 170 -0.260 -2.150 2.410 -0.782 0.932 -4.390 329 2 -4.824 70 78 -0.511 238 12 5.335 5.080 23 C201601092011A 
2016/01/10 00:37:44.0 -92.50 -38.50 10.0 0.0 4.9 173 27 -137 44 72 -70 -1.490 0.268 1.220 -1.650 -0.624 -0.242 341 58 -2.595 217 19 1.178 118 25 1.415 2.005 23 C201601100037A 
2016/01/10 01:40:41.1 153.80 -4.79 101.7 0.0 4.5 180 45 128 312 57 58 1.980 0.315 -2.300 -0.837 0.237 1.550 64 7 -3.085 331 26 0.714 167 63 2.366 2.726 23 C201601100140A 
2016/01/10 01:53:45.2 136.38 -3.96 38.4 0.0 4.7 283 71 2 192 88 161 -0.072 0.791 -0.718 -0.252 -0.599 1.670 239 12 -1.874 7 71 -0.135 146 15 2.010 1.942 23 C201601100153A 
2016/01/10 04:36:38.9 -72.66 -36.38 39.9 0.0 4.8 37 41 77 235 50 102 2.580 -1.340 -1.240 -0.567 -0.016 -1.530 316 4 -2.853 47 9 0.181 200 80 2.672 2.763 23 C201601100436A 
2016/01/10 09:09:13.1 154.52 -6.79 10.0 0.0 4.8 310 30 80 142 61 96 3.210 -1.650 -1.560 0.809 -1.500 0.695 228 16 -2.752 319 5 -0.956 67 74 3.708 3.230 23 C201601100909A 
2016/01/10 12:12:02.4 -147.95 -57.66 4.0 0.0 5.6 295 81 -1 25 89 -171 -0.421 3.370 -2.950 -0.300 -0.526 2.580 251 6 -3.914 30 81 -0.421 160 6 4.334 4.124 24 C201601101212A 
2016/01/10 12:18:23.6 -148.07 -57.44 14.9 0.0 4.7 117 51 -5 210 86 -140 -0.555 5.270 -4.710 1.890 4.510 3.120 81 30 -7.813 215 50 0.307 337 24 7.511 7.662 23 C201601101218A 
2016/01/10 14:20:12.3 173.49 -22.64 10.0 0.0 4.8 252 41 81 85 50 98 2.620 -2.570 -0.057 0.484 -0.195 -0.531 169 5 -2.713 260 6 0.019 42 82 2.687 2.700 23 C201601101420A 
2016/01/10 15:23:11.3 -148.53 -58.15 14.7 0.0 4.5 125 68 -1 215 89 -158 -0.415 3.130 -2.710 0.896 0.902 1.100 82 16 -3.119 217 68 -0.483 348 15 3.606 3.363 23 C201601101523A 
2016/01/10 17:40:49.5 34.34 39.56 10.0 0.0 5.0 7 79 -6 98 84 -169 0.195 -1.010 0.815 -0.803 -0.353 -3.440 323 12 -3.837 125 77 0.361 232 4 3.475 3.656 23 C201601101740A 
2016/01/10 22:07:36.8 166.38 -11.60 65.1 0.0 5.0 164 35 88 347 55 92 0.701 -0.047 -0.654 -0.048 0.263 0.165 76 10 -0.745 166 1 -0.006 263 79 0.751 0.748 24 C201601102207A 
2016/01/10 23:48:57.9 164.18 54.97 34.2 0.0 4.9 328 63 174 60 84 27 -0.820 -2.010 2.830 0.842 1.960 1.570 191 15 -2.541 71 62 -1.651 287 23 4.192 3.366 23 C201601102348A 
2016/01/11 12:32:46.8 84.77 -41.79 9.3 0.0 4.6 226 52 -174 132 85 -38 -0.316 2.120 -1.810 -1.040 1.070 0.047 82 30 -2.432 305 52 -0.104 185 22 2.530 2.481 23 C201601111232A 
2016/01/11 16:38:05.9 126.86 3.90 13.0 0.0 6.5 171 29 68 15 64 102 5.060 0.897 -5.960 1.490 3.780 -0.505 97 18 -7.238 190 10 0.712 309 69 6.523 6.881 25 C201601111638A 
2016/01/11 17:08:03.9 141.09 44.48 238.8 0.0 6.2 164 42 -43 289 63 -123 -2.070 0.931 1.140 1.690 0.244 -1.800 152 58 -3.078 305 29 0.030 42 12 3.048 3.063 25 C201601111708A 
2016/01/11 22:19:56.3 179.12 -23.08 552.5 0.0 5.3 286 39 -142 164 67 -58 -2.010 1.090 0.919 0.287 2.150 -1.740 116 56 -3.421 331 29 0.299 231 16 3.122 3.271 24 B201601112219A 
2016/01/11 23:39:33.5 127.99 -7.00 252.1 0.0 4.9 233 34 -156 122 77 -59 -2.020 3.850 -1.830 -3.100 2.700 0.293 66 49 -5.319 294 30 0.035 188 25 5.285 5.302 23 C201601112339A 
2016/01/12 09:45:11.4 58.19 -31.34 10.0 0.0 5.9 72 41 -71 227 52 -106 -0.822 0.643 0.179 0.047 0.241 0.413 82 76 -0.879 237 13 -0.022 329 5 0.900 0.889 25 C201601120945A 
2016/01/12 20:04:59.7 70.95 36.59 239.0 0.0 5.7 137 7 52 355 85 94 0.740 -0.028 -0.712 -0.368 4.150 0.365 81 40 -4.262 174 4 0.034 269 50 4.228 4.245 24 C201601122005A 
2016/01/13 05:47:30.8 92.27 0.45 10.0 0.0 5.1 118 64 173 211 84 26 0.139 -2.750 2.610 -0.396 -1.570 -1.540 342 14 -3.356 223 63 -0.258 78 23 3.613 3.484 23 C201601130547A 
