date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2015/01/07 05:07:07.5 -82.66 5.91 8.0 0.0 6.5 360 85 179 90 89 5 -0.084 0.015 0.069 0.532 0.073 6.040 315 4 6.111 96 85 -0.095 225 3 -6.016 6.064 25 C201501070507A 
2015/01/07 12:27:16.0 146.63 -6.12 54.9 0.0 4.9 91 34 89 273 56 91 3.580 -3.620 0.046 -1.470 0.103 0.138 186 79 3.870 92 1 0.051 2 11 -3.915 3.892 23 C201501071227A 
2015/01/07 14:45:36.4 146.69 -6.12 52.7 0.0 5.1 91 36 95 265 54 86 4.050 -4.320 0.269 -1.390 -0.283 -0.177 158 80 4.291 267 3 0.263 357 9 -4.555 4.423 23 C201501071445A 
2015/01/07 19:30:54.7 152.99 46.44 51.1 0.0 4.9 226 44 118 10 52 66 2.100 -0.429 -1.670 -0.544 0.671 -0.954 220 71 2.399 25 19 -0.184 117 5 -2.215 2.307 23 C201501071930A 
2015/01/07 21:51:10.2 152.68 -6.23 10.0 0.0 4.9 112 42 -93 296 48 -87 -2.860 1.890 0.974 0.161 -0.220 -0.512 24 3 2.130 114 2 0.750 242 87 -2.876 2.503 23 C201501072151A 
2015/01/08 02:02:53.8 -125.65 49.17 24.6 0.0 4.8 39 66 7 306 83 156 1.040 -3.210 2.170 -0.951 0.391 -0.561 261 21 2.420 111 65 1.033 355 12 -3.452 2.936 23 C201501080202A 
2015/01/08 08:51:50.6 179.99 -24.77 493.5 0.0 4.9 186 10 -67 343 80 -94 -0.311 -0.012 0.323 0.274 -0.851 -0.032 76 35 0.950 344 4 -0.001 248 54 -0.949 0.949 24 B201501080851A 
2015/01/08 14:56:30.7 161.34 -61.61 10.0 0.0 5.7 325 80 4 234 86 170 -0.440 4.430 -3.990 -0.954 -0.092 -1.440 189 10 4.832 30 79 -0.586 280 4 -4.246 4.539 24 C201501081456A 
2015/01/08 18:42:12.2 144.87 43.69 132.3 0.0 5.3 151 52 2 60 89 142 -0.120 1.080 -0.956 0.919 0.181 -0.501 9 27 1.628 238 52 -0.373 112 25 -1.250 1.439 24 C201501081842A 
2015/01/08 18:47:12.9 -17.77 64.56 9.5 0.0 5.1 6 53 -46 128 55 -133 -2.550 -0.530 3.080 -1.400 -0.512 -1.890 247 1 3.890 156 34 -0.338 338 56 -3.552 3.721 23 C201501081847A 
