date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2014/01/10 18:03:01.0 154.03 48.26 80.6 0.0 5.3 109 28 134 242 70 69 3.040 -3.890 0.841 -2.970 -2.210 -0.465 122 60 5.040 249 19 0.194 347 22 -5.243 5.141 23 C201401101803A 
2014/01/11 03:56:48.4 139.18 43.66 228.1 0.0 4.9 25 69 -12 119 79 -159 -0.444 -2.460 2.910 -1.390 0.005 -1.920 251 7 3.575 146 66 0.060 344 23 -3.629 3.602 23 C201401110356A 
2014/01/11 04:12:56.2 20.95 37.83 0.0 0.0 5.0 220 82 177 310 87 8 0.197 3.320 -3.520 -0.443 0.170 0.611 175 8 3.430 332 82 0.152 85 3 -3.586 3.508 23 C201401110412A 
2014/01/11 05:33:04.2 148.14 -57.04 14.3 0.0 4.6 76 72 -174 344 84 -18 0.076 0.977 -1.050 -0.123 -0.751 -1.720 31 8 1.999 146 71 0.257 299 17 -2.253 2.126 23 C201401110532A 
2014/01/11 11:53:44.9 -179.21 -30.52 244.9 0.0 4.8 34 52 -46 156 55 -132 -3.580 -1.420 4.990 -2.410 0.425 0.561 274 2 5.045 183 33 0.129 7 57 -5.184 5.114 23 C201401111153A 
2014/01/11 12:51:44.9 167.48 -16.84 10.0 0.0 5.0 6 32 116 156 61 75 3.910 0.820 -4.730 1.450 -2.290 1.030 34 70 4.830 164 13 0.760 257 15 -5.590 5.210 23 C201401111251A 
2014/01/11 13:10:51.1 -92.06 14.64 78.0 0.0 5.5 181 16 -36 306 81 -103 -0.644 -0.051 0.695 2.210 -1.720 -1.070 47 35 3.336 308 13 -0.625 201 52 -2.712 3.024 24 C201401111310A 
2014/01/11 14:50:59.8 -44.52 26.24 10.0 0.0 5.0 214 30 78 48 61 97 2.750 -1.200 -1.540 1.320 0.862 -0.959 335 73 3.217 225 6 -0.444 133 16 -2.763 2.990 23 C201401111451A 
2014/01/11 15:14:54.3 126.54 -48.70 10.0 0.0 4.7 288 43 -86 103 48 -94 -3.040 2.560 0.487 -0.287 -0.079 -0.625 195 3 2.745 105 3 0.320 330 86 -3.058 2.902 23 C201401111514A 
2014/01/11 18:34:48.5 146.78 20.61 14.4 0.0 4.8 165 43 -75 325 49 -104 -2.580 0.433 2.150 0.558 -0.055 -1.040 64 3 2.656 334 10 0.031 171 79 -2.684 2.670 23 C201401111834A 
2014/01/11 20:18:11.2 -47.61 -60.35 10.0 0.0 4.9 48 34 -75 210 58 -100 -3.130 1.110 2.020 0.559 1.460 1.970 307 12 3.905 215 8 -0.390 92 75 -3.515 3.710 23 C201401112018A 
2014/01/12 02:20:58.0 126.34 8.94 10.5 0.0 4.8 216 8 162 323 88 83 0.568 0.214 -0.782 -2.670 3.400 -0.303 226 47 4.595 324 7 -0.443 60 42 -4.151 4.373 23 C201401120220A 
